"e0","year","isono","sexno","ageno","eduno"
74.2,2010,156,1,0,0
59,1950,344,1,0,0
61.9,1955,344,1,0,0
64.9,1960,344,1,0,0
67,1965,344,1,0,0
68.6,1970,344,1,0,0
70.4,1975,344,1,0,0
72.6,1980,344,1,0,0
74.2,1985,344,1,0,0
75.3,1990,344,1,0,0
77.2,1995,344,1,0,0
78.5,2000,344,1,0,0
79.5,2005,344,1,0,0
80.5,2010,344,1,0,0
59.4,1950,446,1,0,0
61.8,1955,446,1,0,0
64.1,1960,446,1,0,0
66.1,1965,446,1,0,0
68.7,1970,446,1,0,0
71,1975,446,1,0,0
72.6,1980,446,1,0,0
74.3,1985,446,1,0,0
75.5,1990,446,1,0,0
77.2,1995,446,1,0,0
78.2,2000,446,1,0,0
79.1,2005,446,1,0,0
80.3,2010,446,1,0,0
56.4,1950,158,1,0,0
60.4,1955,158,1,0,0
62.5,1960,158,1,0,0
64.5,1965,158,1,0,0
67,1970,158,1,0,0
68.4,1975,158,1,0,0
69.9,1980,158,1,0,0
71.1,1985,158,1,0,0
71.9,1990,158,1,0,0
72.5,1995,158,1,0,0
74.2,2000,158,1,0,0
75.2,2005,158,1,0,0
76.4,2010,158,1,0,0
49,1950,170,1,0,0
53.5,1955,170,1,0,0
56.2,1960,170,1,0,0
58.3,1965,170,1,0,0
59.7,1970,170,1,0,0
61.8,1975,170,1,0,0
63.6,1980,170,1,0,0
64.5,1985,170,1,0,0
64.5,1990,170,1,0,0
66.5,1995,170,1,0,0
68,2000,170,1,0,0
69.2,2005,170,1,0,0
70.2,2010,170,1,0,0
37.5,1950,174,1,0,0
39,1955,174,1,0,0
41,1960,174,1,0,0
43,1965,174,1,0,0
45.2,1970,174,1,0,0
47.4,1975,174,1,0,0
50.7,1980,174,1,0,0
53.7,1985,174,1,0,0
56.3,1990,174,1,0,0
57.8,1995,174,1,0,0
58,2000,174,1,0,0
59.3,2005,174,1,0,0
61.2,2010,174,1,0,0
42.3,1950,178,1,0,0
45.7,1955,178,1,0,0
48.8,1960,178,1,0,0
51,1965,178,1,0,0
52.7,1970,178,1,0,0
54,1975,178,1,0,0
55.2,1980,178,1,0,0
55.1,1985,178,1,0,0
53.4,1990,178,1,0,0
50.9,1995,178,1,0,0
51.1,2000,178,1,0,0
56.7,2005,178,1,0,0
61,2010,178,1,0,0
54.8,1950,188,1,0,0
57.4,1955,188,1,0,0
61,1960,188,1,0,0
63.6,1965,188,1,0,0
65.7,1970,188,1,0,0
68.2,1975,188,1,0,0
70.9,1980,188,1,0,0
72.5,1985,188,1,0,0
73.6,1990,188,1,0,0
74.7,1995,188,1,0,0
75.5,2000,188,1,0,0
76.1,2005,188,1,0,0
76.7,2010,188,1,0,0
31.2,1950,384,1,0,0
34.2,1955,384,1,0,0
37.6,1960,384,1,0,0
40.5,1965,384,1,0,0
44.1,1970,384,1,0,0
47.5,1975,384,1,0,0
49.8,1980,384,1,0,0
50.9,1985,384,1,0,0
49.7,1990,384,1,0,0
47.2,1995,384,1,0,0
45.9,2000,384,1,0,0
48.5,2005,384,1,0,0
50.4,2010,384,1,0,0
59.3,1950,191,1,0,0
61.2,1955,191,1,0,0
62.8,1960,191,1,0,0
64,1965,191,1,0,0
65.2,1970,191,1,0,0
65.8,1975,191,1,0,0
66.6,1980,191,1,0,0
68.2,1985,191,1,0,0
69,1990,191,1,0,0
70.9,1995,191,1,0,0
71.4,2000,191,1,0,0
72.6,2005,191,1,0,0
73.6,2010,191,1,0,0
57.8,1950,192,1,0,0
60.8,1955,192,1,0,0
63.8,1960,192,1,0,0
67,1965,192,1,0,0
69.4,1970,192,1,0,0
71.5,1975,192,1,0,0
72.6,1980,192,1,0,0
72.8,1985,192,1,0,0
72.9,1990,192,1,0,0
74.2,1995,192,1,0,0
75.3,2000,192,1,0,0
76.7,2005,192,1,0,0
77.1,2010,192,1,0,0
59.1,1950,531,1,0,0
63,1955,531,1,0,0
64.8,1960,531,1,0,0
66.4,1965,531,1,0,0
67.5,1970,531,1,0,0
69.5,1975,531,1,0,0
70.9,1980,531,1,0,0
71.4,1985,531,1,0,0
71.5,1990,531,1,0,0
71.1,1995,531,1,0,0
71.2,2000,531,1,0,0
72.7,2005,531,1,0,0
74.5,2010,531,1,0,0
64.8,1950,196,1,0,0
66.8,1955,196,1,0,0
68.4,1960,196,1,0,0
69.9,1965,196,1,0,0
71.2,1970,196,1,0,0
72.3,1975,196,1,0,0
73.2,1980,196,1,0,0
74.1,1985,196,1,0,0
74.9,1990,196,1,0,0
75.6,1995,196,1,0,0
